threshold,kept,coverage,error
8.46169e-05,16526,0.452247,0.238352
8.96391e-05,16934,0.463412,0.239105
9.49571e-05,17282,0.472935,0.240829
0.000100588,17639,0.482705,0.244855
0.000106551,17956,0.491380,0.246547
0.000112864,18374,0.502819,0.248286
0.000119548,18706,0.511904,0.251844
0.000126625,19113,0.523042,0.252289
0.000134118,19527,0.534371,0.251549
0.00014205,19756,0.540638,0.252227
0.000150447,20085,0.549642,0.253921
0.000159337,20362,0.557222,0.256704
0.000168748,20647,0.565021,0.255582
0.00017871,21018,0.575174,0.257494
0.000189255,21257,0.581714,0.256951
0.000200417,21554,0.589842,0.257029
0.000212232,21847,0.597860,0.256008
0.000224736,22101,0.604811,0.257907
0.000237971,22247,0.608806,0.259406
0.000251978,22399,0.612966,0.261440
0.000266802,22697,0.621121,0.263295
0.000282491,23027,0.630152,0.263213
0.000299093,23282,0.637130,0.264625
0.000316661,23646,0.647091,0.267360
0.000335251,23914,0.654425,0.267040
0.000354922,24180,0.661704,0.267039
0.000375736,24430,0.668546,0.269218
0.000397758,24720,0.676482,0.267516
0.000421058,25029,0.684938,0.267290
0.000445709,25193,0.689426,0.268527
0.000471789,25562,0.699524,0.270793
0.000499378,25837,0.707049,0.272207
0.000528563,26139,0.715314,0.272811
0.000559435,26388,0.722128,0.273609
0.000592092,26682,0.730173,0.272806
0.000626633,26984,0.738438,0.273681
0.000663167,27302,0.747140,0.274119
0.000701806,27640,0.756390,0.275543
0.000742671,27857,0.762328,0.274940
0.000785888,28054,0.767719,0.274578
0.00083159,28274,0.773740,0.274775
0.000879918,28508,0.780143,0.277466
0.000931021,28721,0.785972,0.276940
0.000985054,29003,0.793689,0.275696
0.00104219,29146,0.797603,0.275235
0.00110259,29305,0.801954,0.276574
0.00116645,29594,0.809863,0.277421
0.00123395,29859,0.817115,0.277873
0.00130532,29996,0.820864,0.278370
0.00138075,30175,0.825762,0.278774
0.00146049,30292,0.828964,0.279216
0.00154477,30542,0.835805,0.279091
0.00163384,30668,0.839253,0.279118
0.00172797,30955,0.847107,0.280375
0.00182745,31156,0.852608,0.279465
0.00193258,31456,0.860818,0.278135
0.00204366,31644,0.865962,0.278884
0.00216103,31843,0.871408,0.278083
0.00228503,32080,0.877894,0.277587
0.00241604,32195,0.881041,0.277621
0.00255445,32321,0.884489,0.277188
0.00270065,32493,0.889196,0.276860
0.00285509,32618,0.892617,0.276596
0.00301821,32843,0.898774,0.277045
0.00319049,32983,0.902605,0.277931
0.00337243,33137,0.906820,0.279235
0.00356458,33339,0.912347,0.279103
0.00376747,33449,0.915358,0.279351
0.0039817,33643,0.920667,0.279939
