threshold,kept,coverage,error
0.61697,1,0.031250,0.000000
0.662847,3,0.093750,0.333333
0.669782,8,0.250000,0.500000
0.675873,19,0.593750,0.631579
0.681088,29,0.906250,0.689655
0.685395,32,1.000000,0.687500
