threshold,kept,coverage,error
0.637381,4,0.037037,0.000000
0.646604,15,0.138889,0.333333
0.655107,47,0.435185,0.297872
0.662847,83,0.768519,0.397590
0.669782,94,0.870370,0.425532
0.675873,104,0.962963,0.442308
0.681088,108,1.000000,0.444444
